epochs	freezed cross-entropy + unfreezed cross-entropy	freezed cross-entropy + unfreezed reconstrunction & cross-entropy	unfreezed cross-entropy	unfreezed reconstrunction & cross-entropy	freezed cross-entropy
1	0.84634	0.83664	0.84828	0.81802	0.82312
2	0.85106	0.84040	0.85318	0.83023	0.83391
3	0.85618	0.84666	0.86019	0.84173	0.83691
4	0.85052	0.85183	0.85484	0.84948	0.83039
5	0.85424	0.84725	0.85627	0.84761	0.83894
6	0.84997	0.84750	0.85715	0.84630	0.84081
7	0.84974	0.84691	0.85248	0.84308	0.84484
8	0.84115	0.85094	0.85610	0.84961	0.83911
9		0.85549	0.85758	0.85507	0.84446
10		0.84679	0.85496	0.84892	0.84571
11		0.84521	0.85432	0.84588	0.83367
12		0.83695	0.85118	0.84236	0.83921
13		0.85275		0.85251	0.84344
14		0.85368		0.85503	0.84347
15		0.85949		0.85625	
16		0.85195		0.85408	
17		0.84849		0.85375	
18		0.84473		0.85031	
19		0.84963		0.84691	
20		0.84077		0.84353	
21		0.85349		0.85376	
22		0.85642		0.85357	
23		0.84667		0.84430	
24		0.85194		0.85162	
25		0.85219		0.85096	
26		0.85920		0.85463	
27		0.85593		0.85256	
28		0.85563		0.85249	
29		0.85123		0.84492	
30		0.85415		0.85241	
31		0.84556		0.84475	
32		0.84628		0.84185	
33		0.84808		0.84503	
34		0.85205		0.84621	
35		0.85830		0.85311	
36		0.84225		0.84144	
37		0.84837		0.84417	
38		0.83903		0.83982	
39		0.84042		0.83976	
40		0.85030		0.84438	
41		0.84319		0.84282	
42		0.84277		0.84009	
43		0.84454		0.84144	
44		0.84373		0.84197	
45		0.84506		0.84141	
46		0.84131		0.84057	
47		0.84144		0.83929	
48		0.84230		0.83746	
49		0.84067		0.83961	
50		0.84054		0.83730	
51		0.84284		0.83925	
52		0.84080		0.83727	
53		0.83960		0.83696	
54		0.83446		0.83528	
55		0.83400		0.83765	
56		0.83210		0.83311	
57		0.83124		0.83424	
58		0.83508			
