epochs	Neural Flow scratch with reconstruction	Neural Flow scratch without reconstruction	Neural ODE scratch with reconstruction	Neural ODE scratch without reconstruction
1	0.71972	0.75566	0.75033	0.75774
2	0.73409	0.77114	0.75738	0.77960
3	0.74587	0.79020	0.78020	0.77626
4	0.75644	0.80228	0.78003	0.79134
5	0.77466	0.76917	0.77257	0.79997
6	0.77775	0.80196	0.79427	0.80517
7	0.77898	0.80733	0.79452	0.79168
8	0.78960	0.80872	0.80886	0.77629
9	0.79646	0.80194	0.80103	0.79192
10	0.79392	0.79096	0.80623	0.79579
11	0.79940	0.81058	0.81587	0.81131
12	0.79706		0.81733	0.77698
13	0.80938		0.81960	0.79802
14	0.81682		0.81738	0.77984
15	0.82037		0.81893	0.81128
16	0.82093		0.82731	0.80611
17	0.82195		0.82253	
18	0.82868		0.83133	
19	0.83029		0.82916	
20	0.82757		0.83221	
21	0.83223		0.83125	
22	0.83615		0.82989	
23	0.83527		0.83808	
24	0.83659		0.84017	
25	0.84085		0.83865	
26	0.83658		0.83914	
27	0.84188		0.84367	
28	0.83942		0.84299	
29	0.83792		0.84414	
30	0.83997		0.84112	
31	0.83883		0.84676	
32	0.84195		0.84556	
33	0.84197		0.84637	
34	0.83991		0.84827	
35	0.84267		0.84896	
36	0.84224		0.84659	
37	0.84198		0.84691	
38	0.84192		0.84372	
39	0.84281		0.84531	
40	0.84512		0.84602	
41	0.84112		0.84871	
42	0.84577		0.84723	
43	0.84399		0.84715	
44	0.84176		0.84882	
45	0.84394		0.84643	
46	0.84367		0.84944	
47	0.84374		0.84723	
48	0.84443		0.84828	
49	0.84758		0.85041	
50	0.84251		0.84888	
51	0.84719		0.84735	
52	0.84269		0.84785	
53	0.84218		0.85068	
54	0.84078		0.84783	
55	0.84477		0.84795	
56	0.84398		0.84951	
57	0.84662		0.84964	
58	0.84562		0.84619	
59	0.84279		0.85114	
60	0.84726		0.84506	
61	0.84660		0.84935	
62	0.84736		0.85138	
63	0.84845		0.85073	
64	0.84627		0.85173	
65	0.84754		0.84873	
66	0.84415		0.85010	
67	0.84487		0.85038	
68	0.84643		0.85084	
69	0.84856		0.84844	
70	0.84708		0.85071	
71	0.84804		0.84791	
72	0.84959		0.85125	
73	0.84815		0.84902	
74	0.84891		0.85055	
75	0.84881		0.84762	
76	0.84885		0.84933	
77	0.84846		0.84915	
78	0.84923		0.85197	
79	0.84646		0.84576	
80	0.84810		0.84938	
81	0.84607		0.84846	
82	0.84892		0.84791	
83	0.84864		0.84917	
84	0.84567		0.84873	
85	0.84745		0.84925	
86	0.84799		0.84676	
87	0.84828		0.84900	
88	0.84985		0.84795	
89	0.84719		0.85035	
90	0.84621		0.84634	
91	0.84906		0.84977	
92	0.84929		0.84714	
93	0.84798		0.84762	
94	0.85019		0.84708	
95	0.84880		0.84586	
96	0.84818		0.84724	
97	0.84847		0.84836	
98	0.84931		0.84604	
99	0.84721		0.84417	
100	0.85005		0.84367	
101	0.85075		0.84655	
102	0.85041		0.84578	
103	0.84963		0.84765	
104	0.84888		0.84540	
105	0.84866		0.84783	
106	0.85126		0.84823	
107	0.84993		0.84774	
108	0.85039		0.84407	
109	0.84946		0.84691	
110	0.84929		0.84729	
111	0.85007		0.84724	
112	0.84937		0.84546	
113	0.85037		0.84803	
114	0.85026		0.84414	
115			0.84485	
116			0.84303	
			0.84730	
